C-00	SI PARTE A TORINO! Via a Juventus-Roma! Rizzoli ha fischiato il calcio d'inizio!	18/01/14 20:30
C-98	Il possesso palla è prevalentemente giallorosso! La Juventus prova ad uscire piano piano!	18/01/14 20:40
C-04	VIDAAAAAAAAAAAAAAL! 1-0 Juventus! Giocata da fuoriclasse di TEVEZ che serve Vidal: col destro batte De Sanctis! OTTAVO GOL IN A quest'anno per Vidal!	18/01/14 20:47
C-98	GIOCA BENE la Roma che sta attaccando! Grande reazione dei giallorossi!	18/01/14 20:53
C-28	Mezz'ora di gioco! Bene la Juventus in fase difensiva, anche se non è fluido il gioco dei bianconeri!	18/01/14 21:01
C-98	Due minuti di recupero!	18/01/14 21:15
C-01	Si chiude qui il PRIMO TEMPO! 1-0 Juventus grazie alla rete di Vidal su assist di Tevez! Bella partita, Roma meglio in avvio, poi solo Juve!	18/01/14 21:17
C-02	SI RIPARTE! Via alla ripresa! Nessun cambio!	18/01/14 21:45
C-04	BONUCCIIIIIIIIIIIIIIIIIIIIII! 2-0 Juventus! Assist di Pirlo su punizione e deviazione in scivolata di Bonucci che non sbaglia!	18/01/14 21:49
C-98	Juventus con personalità e con entusiasmo grazie al doppio vantaggio!	18/01/14 21:58
C-98	DE ROSSI ESPULSO! ROSSO DIRETTO! Fallo da "manette" del centrocampista su Chiellini! Non colpisce in pieno il difensore, ma l'intervento era brutto!	18/01/14 22:15
C-98	ESPULSO CASTAN e rigore per la Juventus! Fallo di mano netto sulla riga di porta! ROMA IN 9!	18/01/14 22:16
C-04	VUCINIIIIIIIIIIIIIIIIIIIIIIIC! 3-0 Juventus! Rigore perfetto a spiazzare De Sanctis! 3-0!	18/01/14 22:18
C-99	FINISCE QUI! Senza recupero! La Juventus batte 3-0 la Roma e va a più 8 sui giallorossi! FUGA SCUDETTO per i bianconeri!	18/01/14 22:30
